Name,State,Latitude,Longitude,Status,Commodity Group
Sherlock Bay,WA,-20.8112,117.5406,Mineral deposit,Nickel +/- Cobalt +/- PGE
Siberia,WA,-30.2476,120.9321,Mineral deposit,Scandium +/- Cobalt +/- PGE +/- Nickel
Silver Knight,WA,-31.5915,123.4410,Mineral deposit,Nickel +/- Cobalt +/- PGE
Sinclair,WA,-28.3741,120.8645,Mineral deposit,Nickel +/- Cobalt +/- PGE
Slopeaway,QLD,-22.9385,149.8306,Mineral deposit,Nickel +/- Cobalt +/- PGE
South Kambalda,WA,-31.6278,121.6613,Mine - care and maintenance,Nickel +/- Cobalt +/- PGE
Spargoville,WA,-31.3181,121.4917,Mineral deposit,Nickel +/- Cobalt +/- PGE
Splinter Rock,WA,-33.3114,123.0831,Mineral deposit,Rare Earth Elements (REE)
Spotted Quoll ,WA,-32.4782,119.6778,Operating mine,Nickel +/- Cobalt +/- PGE
Stanton,NT,-16.7300,137.7500,Mineral deposit,Nickel +/- Cobalt +/- PGE
Sunrise,NSW,-32.7567,147.4196,Mine - under development,Scandium +/- Cobalt +/- PGE +/- Nickel
The Horn,WA,-28.1674,120.9166,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel
Tower,WA,-25.6230,117.1540,Mineral deposit,Rare Earth Elements (REE)
Trough Well,WA,-30.6732,118.8948,Mineral deposit,Nickel +/- Cobalt +/- PGE
Venus ,WA,-27.8150,120.7040,Operating mine,Nickel +/- Cobalt +/- PGE
Walford Creek,QLD,-17.7858,138.2847,Mineral deposit,Nickel +/- Cobalt +/- PGE
Waterloo,WA,-28.1438,120.9780,Mine - care and maintenance,Nickel +/- Cobalt +/- PGE
Wedderburn,VIC,-36.2167,143.6998,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium, REE"
West Jordan,WA,-27.0167,120.4361,Mineral deposit,Nickel +/- Cobalt +/- PGE
West Lynn,NSW,-31.4982,147.0391,Mineral deposit,Nickel +/- Cobalt +/- PGE
Widgie North,WA,-31.4559,121.5390,Mineral deposit,Nickel +/- Cobalt +/- PGE
Widgie South,WA,-31.5191,121.5875,Mineral deposit,Nickel +/- Cobalt +/- PGE
Wilconi,WA,-26.6000,120.1965,Mineral deposit,Nickel +/- Cobalt +/- PGE
Wim 100,VIC,-36.9572,141.9258,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium, REE"
Wim 150,VIC,-36.8043,142.3678,Mineral deposit,"Heavy mineral sands - Titanium, Zirconium, REE"
Windanya-Blue Dam,WA,-30.3800,121.2538,Mineral deposit,Nickel +/- Cobalt +/- PGE
Wingellina,WA,-26.0396,128.9393,Mineral deposit,Nickel +/- Cobalt +/- PGE
Yakabindie ,WA,-27.4555,120.5775,Operating mine,Nickel +/- Cobalt +/- PGE
Yangibana,WA,-23.9061,116.2959,Mine - under development,Rare Earth Elements (REE)
Yarawindah Brook,WA,-31.0908,116.2609,Mineral deposit,Platinum Group Elements (PGE) +/- Cobalt +/- Nickel
Yerilla,WA,-29.4849,121.9050,Mineral deposit,Nickel +/- Cobalt +/- PGE
